[2026-06-11 01:31:01.779] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.780] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.780] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.780] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.780] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.780] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.780] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.780] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.780] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.780] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.780] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.780] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.780] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.780] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.780] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.780] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.781] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.781] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.781] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.781] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.781] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.781] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.781] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.781] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.781] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.781] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.781] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.781] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.781] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.781] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.781] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.782] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.782] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.782] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.782] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.782] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.782] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.782] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.782] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.782] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.782] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.782] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.782] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.782] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.782] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.782] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.783] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.783] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.783] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.783] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.783] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.783] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.783] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.783] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.783] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.783] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.783] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.783] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.783] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.783] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.783] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.784] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.784] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.784] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.784] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.784] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.784] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.784] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.784] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.784] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.784] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.784] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.784] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.784] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.784] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.784] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.785] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.785] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.785] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.785] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.785] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.785] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
[2026-06-11 01:31:01.785] ERROR: LinuxPlatform::readPcieConfig() - Short read: expected 4 bytes, got 0
